,word,label
0,crows,0
1,concedes,0
2,declined,0
3,ambivalence,0
4,Brassnose,1
5,maneuver,0
6,Earth,0
7,Bumblebees,1
8,Hazel,0
9,Se,0
10,plumbed,0
11,TASS,1
12,dazzler,1
13,programmer,1
14,bushes,0
15,46%,0
16,vertebrates,0
17,Camelot,0
18,Mickey's,0
19,Shantz,0
20,shocks,0
21,0.906,0
22,short-barrel,1
23,predicator,0
24,transportation,0
25,Hinckley,0
26,propulsions,0
27,repulsed,0
28,sherbet-colored,0
29,Well-wishers,1
30,Bertoia,0
31,"46,000",1
32,homogeneous,0
33,mailman,0
34,steepest,1
35,fall-outs,1
36,Export,0
37,Blaustein,0
38,send,0
39,finisher,0
40,depiction,0
41,Copernicus,0
42,humiliated,0
43,diplomat,0
44,nonequivalent,0
45,propose,0
46,ligands,0
47,mountainously,0
48,b-plane,0
49,"$35,823",0
50,chairman,0
51,Lark,0
52,tithes,0
53,aqua-lung,0
54,confabulation,0
55,proctors,0
56,koinonia,0
57,Eichmann,1
58,600-mile,1
59,tastes,0
60,habits,0
61,cupboard,0
62,contingent-fee,1
63,easy-to-reach,0
64,sprains,0
65,hard-fought,0
66,fawn,0
67,jeans,0
68,amortization,0
69,convenience,0
70,Melissa,1
71,Existence,0
72,Spike-haired,0
73,heat-absorbing,0
74,China's,0
75,beer-runner,1
76,depict,0
77,home-building,0
78,mountainside,0
79,1818,0
80,breakup,0
81,loosened,1
82,refused,0
83,Certainly,0
84,creek,1
85,V.,0
86,faithful,0
87,ties,0
88,"1,253",0
89,Koreans,0
90,doomsday,1
91,espousal,0
92,Henrietta,1
93,effect,1
94,propping,1
95,Urbana,0
96,sums,0
97,hand-me-down,0
98,reopening,0
99,baffled,1
100,sorrow,1
101,redheads,0
102,honorably,0
103,bankers,0
104,surround,1
105,other-directed,0
106,mortals,0
107,assessors,1
108,short-lived,0
109,infringements,0
110,Kern,0
111,Casualty,0
112,drugless,1
113,gravestone,0
114,fascicles,0
115,credited,0
116,sheep,1
117,accumulation,1
118,outreach,0
119,boomerang,1
120,Sancho,0
121,registry,0
122,heterozygous,0
123,myth-making,0
124,dark-brown,0
125,Ontario,0
126,elephants,0
127,undiluted,0
128,deep-tendon,1
129,includes,0
130,spouting,0
131,unlocking,0
132,nocturnal,0
133,unsprayed,0
134,Dundeen,1
135,0.36,0
136,flaxseed,1
137,Dean's,0
138,Huge,0
139,binders,0
140,lobbied,1
141,limp,0
